,question,is_evergreen,English,Russian,French,German,Hebrew,Arabic,Chinese
284,Which country has the highest life expectancy?,0,Which country has the highest life expectancy?,Какая страна имеет самую высокую продолжительность жизни?,Quel pays a la plus grande espérance de vie ?,Welches Land hat die höchste Lebenserwartung?,איזו מדינה בעלת תוחלת החיים הגבוהה ביותר?,أي دولة لديها أعلى متوسط عمر متوقع؟,哪个国家的预期寿命最高？
285,What is the largest desert in the world by area?,0,What is the largest desert in the world by area?,Какой самый большой пустыня в мире по площади?,Quel est le plus grand désert du monde en superficie ?,Was ist die größte Wüste der Welt nach Fläche?,מהי המדבר הגדול ביותר בעולם לפי שטח?,ما هو أكبر صحراء في العالم من حيث المساحة؟,世界上面积最大的沙漠是什么？
286,Which country emits the most carbon dioxide annually?,0,Which country emits the most carbon dioxide annually?,Какая страна выбрасывает больше всего углекислого газа в год?,Quel pays émet le plus de dioxyde de carbone chaque année ?,Welches Land stößt jährlich am meisten Kohlendioxid aus?,איזו מדינה פולטת את כמות הפחמן הדו-חמצני הגדולה ביותר מדי שנה?,أي دولة تصدر أكبر كمية من ثاني أكسيد الكربون سنويًا؟,哪个国家每年排放的二氧化碳最多？
287,What is the most valuable natural resource globally?,0,What is the most valuable natural resource globally?,Какой природный ресурс является наиболее ценным во всём мире?,Quelle est la ressource naturelle la plus précieuse au monde ?,Was ist die wertvollste natürliche Ressource weltweit?,מהו המשאב הטבעי היקר ביותר בעולם?,ما هو أغلى مورد طبيعي في العالم؟,全球最有价值的自然资源是什么？
288,Which country has the most universities?,0,Which country has the most universities?,Какая страна имеет наибольшее количество университетов?,Quel pays compte le plus d'universités ?,Welches Land hat die meisten Universitäten?,לאיזו מדינה יש הכי הרבה אוניברסיטאות?,أي دولة لديها أكبر عدد من الجامعات؟,哪个国家拥有最多的大学？
289,What is the tallest mountain in the world?,0,What is the tallest mountain in the world?,Какая самая высокая гора в мире?,Quelle est la plus haute montagne du monde ?,Was ist der höchste Berg der Welt?,מה ההר הגבוה ביותר בעולם?,ما هو أعلى جبل في العالم؟,世界上最高的山是什么？
290,Which country has the largest military budget?,0,Which country has the largest military budget?,Какая страна имеет самый большой военный бюджет?,Quel pays a le plus grand budget militaire ?,Welches Land hat das größte Militärbudget?,לאיזו מדינה יש את התקציב הצבאי הגדול ביותר?,أي دولة لديها أكبر ميزانية عسكرية؟,哪个国家的军费预算最大？
291,What is the most common type of cancer globally?,0,What is the most common type of cancer globally?,Какой тип рака является наиболее распространенным во всем мире?,Quel est le type de cancer le plus courant dans le monde ?,Was ist die weltweit häufigste Krebsart?,מהו סוג הסרטן הנפוץ ביותר בעולם?,ما هو أكثر أنواع السرطان شيوعًا عالميًا؟,全球最常见的癌症类型是什么？
292,Which country has the most Nobel Prize winners?,0,Which country has the most Nobel Prize winners?,Какая страна имеет наибольшее количество лауреатов Нобелевской премии?,Quel pays compte le plus de lauréats du prix Nobel ?,Welches Land hat die meisten Nobelpreisträger?,לאיזו מדינה יש הכי הרבה זוכי פרס נובל?,أي دولة لديها أكبر عدد من الحائزين على جائزة نوبل؟,哪个国家拥有最多的诺贝尔奖得主？
293,What is the largest ocean on Earth?,0,What is the largest ocean on Earth?,Какой самый большой океан на Земле?,Quel est le plus grand océan sur Terre ?,Welcher ist der größte Ozean der Erde?,מהו האוקיינוס הגדול ביותר על פני כדור הארץ?,ما هو أكبر محيط على وجه الأرض؟,地球上最大的海洋是什么？
294,Which country has the highest obesity rate?,0,Which country has the highest obesity rate?,Какая страна имеет самый высокий уровень ожирения?,Quel pays a le taux d'obésité le plus élevé ?,Welches Land hat die höchste Fettleibigkeitsrate?,לאיזו מדינה יש את שיעור ההשמנה הגבוה ביותר?,أي دولة لديها أعلى معدل سمنة؟,哪个国家的肥胖率最高？
295,What is the most popular sport globally?,0,What is the most popular sport globally?,Какой самый популярный спорт во всем мире?,Quel est le sport le plus populaire au monde ?,Was ist die beliebteste Sportart weltweit?,מהו הספורט הפופולרי ביותר בעולם?,ما هي الرياضة الأكثر شعبية في العالم؟,全球最受欢迎的运动是什么？
296,Which country has the most deserts?,0,Which country has the most deserts?,Какая страна имеет наибольшее количество пустынь?,Quel pays possède le plus de déserts ?,Welches Land hat die meisten Wüsten?,לאיזו מדינה יש הכי הרבה מדבריות?,أي دولة لديها أكبر عدد من الصحارى؟,哪个国家拥有最多的沙漠？
297,What is the dominant currency for international trade?,0,What is the dominant currency for international trade?,Какая валюта является доминирующей в международной торговле?,Quelle est la monnaie dominante pour le commerce international ?,Welche Währung dominiert den internationalen Handel?,מהי המטבע השלטת בסחר הבינלאומי?,ما هي العملة المهيمنة في التجارة الدولية؟,国际贸易中占主导地位的货币是什么？
298,Which country has the most active volcanoes?,0,Which country has the most active volcanoes?,Какая страна имеет наибольшее количество активных вулканов?,Quel pays possède le plus de volcans actifs ?,Welches Land hat die meisten aktiven Vulkane?,איזו מדינה יש בה הכי הרבה הרי געש פעילים?,أي دولة لديها أكبر عدد من البراكين النشطة؟,哪个国家拥有最多的活火山？
299,What is the most common blood type globally?,0,What is the most common blood type globally?,Какой самый распространенный тип крови во всем мире?,Quel est le groupe sanguin le plus courant dans le monde ?,Was ist die weltweit häufigste Blutgruppe?,מהו סוג הדם הנפוץ ביותר בעולם?,ما هو أكثر فصيلة دم شيوعًا في العالم؟,全球最常见的血型是什么？
300,Which country has the largest freshwater reserves?,0,Which country has the largest freshwater reserves?,Какая страна имеет самые большие запасы пресной воды?,Quel pays possède les plus grandes réserves d'eau douce ?,Welches Land hat die größten Süßwasserreserven?,איזו מדינה מחזיקה במאגרי המים המתוקים הגדולים ביותר?,أي دولة لديها أكبر احتياطيات من المياه العذبة؟,哪个国家拥有最大的淡水储备？
301,What is the most widely used social media platform?,0,What is the most widely used social media platform?,Какая социальная сеть используется наиболее широко?,Quelle est la plateforme de médias sociaux la plus utilisée ?,Welches ist die am weitesten verbreitete Social-Media-Plattform?,מהי פלטפורמת הרשתות החברתיות הנפוצה ביותר?,ما هي أكثر منصة وسائط اجتماعية استخدامًا؟,使用最广泛的社交媒体平台是什么？
302,Which country has the highest renewable energy share?,0,Which country has the highest renewable energy share?,Какая страна имеет самую высокую долю возобновляемой энергии?,Quel pays a la plus grande part d'énergie renouvelable ?,Welches Land hat den höchsten Anteil an erneuerbaren Energien?,לאיזו מדינה יש את החלק הגבוה ביותר של אנרגיה מתחדשת?,أي دولة لديها أعلى نسبة من الطاقة المتجددة؟,哪个国家的可再生能源占比最高？
303,What is the largest mammal on Earth?,0,What is the largest mammal on Earth?,Какое самое большое млекопитающее на Земле?,Quel est le plus grand mammifère sur Terre ?,Was ist das größte Säugetier der Erde?,מהו היונק הגדול ביותר על פני כדור הארץ?,ما هو أكبر حيوان ثديي على وجه الأرض؟,地球上最大的哺乳动物是什么？
304,Which country has the most internet users?,0,Which country has the most internet users?,В какой стране больше всего пользователей интернета?,Quel pays compte le plus d'utilisateurs d'Internet ?,Welches Land hat die meisten Internetnutzer?,לאיזו מדינה יש את מספר משתמשי האינטרנט הגדול ביותר?,أي دولة لديها أكبر عدد من مستخدمي الإنترنت؟,哪个国家的互联网用户最多？
305,What is the most common form of government globally?,0,What is the most common form of government globally?,Какая самая распространенная форма правления во всем мире?,Quelle est la forme de gouvernement la plus courante dans le monde ?,Was ist die weltweit am häufigsten vorkommende Regierungsform?,מהי צורת הממשל הנפוצה ביותר בעולם?,ما هي أكثر أشكال الحكم شيوعًا في العالم؟,全球最常见的政府形式是什么？
306,Which country has the longest coastline?,0,Which country has the longest coastline?,Какая страна имеет самую длинную береговую линию?,Quel pays a la plus longue côte ?,Welches Land hat die längste Küstenlinie?,לאיזו מדינה יש קו החוף הארוך ביותר?,أي دولة لديها أطول خط ساحلي؟,哪个国家拥有最长的海岸线？
307,What is the most expensive metal by weight?,0,What is the most expensive metal by weight?,Какой металл является самым дорогим по весу?,Quel est le métal le plus cher au poids ?,Welches ist das teuerste Metall nach Gewicht?,מהו המתכת היקרה ביותר לפי משקל?,ما هو أغلى معدن حسب الوزن؟,按重量计算，最昂贵的金属是什么？
308,Which country has the most biodiversity?,0,Which country has the most biodiversity?,Какая страна имеет наибольшее биоразнообразие?,Quel pays possède la plus grande biodiversité ?,Welches Land hat die größte Biodiversität?,איזו מדינה היא בעלת המגוון הביולוגי הגדול ביותר?,أي دولة لديها أكبر تنوع بيولوجي؟,哪个国家拥有最多的生物多样性？
309,What is the largest man-made structure by volume?,0,What is the largest man-made structure by volume?,Какое самое большое рукотворное сооружение по объёму?,Quelle est la plus grande structure artificielle par volume ?,Was ist das größte von Menschen geschaffene Bauwerk nach Volumen?,מהו המבנה הגדול ביותר שנבנה בידי אדם לפי נפח?,ما هو أكبر هيكل من صنع الإنسان من حيث الحجم؟,按体积计算，最大的人工结构是什么？
310,Which country has the highest population density?,0,Which country has the highest population density?,Какая страна имеет самую высокую плотность населения?,Quel pays a la plus grande densité de population ?,Welches Land hat die höchste Bevölkerungsdichte?,איזו מדינה בעלת צפיפות האוכלוסין הגבוהה ביותר?,أي دولة لديها أعلى كثافة سكانية؟,哪个国家的人口密度最高？
311,What is the most common pet globally?,0,What is the most common pet globally?,Какое домашнее животное самое распространенное во всем мире?,Quel est l'animal de compagnie le plus courant dans le monde ?,Was ist das weltweit am häufigsten gehaltene Haustier?,מהו חיית המחמד הנפוצה ביותר בעולם?,ما هي أكثر الحيوانات الأليفة شيوعًا في العالم؟,全球最常见的宠物是什么？
312,Which country has the most UNESCO World Heritage Sites?,0,Which country has the most UNESCO World Heritage Sites?,Какая страна имеет наибольшее количество объектов Всемирного наследия ЮНЕСКО?,Quel pays possède le plus de sites du patrimoine mondial de l'UNESCO ?,Welches Land hat die meisten UNESCO-Welterbestätten?,"איזו מדינה מחזיקה במספר הגדול ביותר של אתרי מורשת עולמית של אונסק""ו?",أي دولة لديها أكبر عدد من مواقع التراث العالمي لليونسكو؟,哪个国家拥有最多的联合国教科文组织世界遗产？
313,What is the largest source of air pollution?,0,What is the largest source of air pollution?,Каков самый большой источник загрязнения воздуха?,Quelle est la plus grande source de pollution de l'air ?,Was ist die größte Quelle der Luftverschmutzung?,מהו המקור הגדול ביותר לזיהום אוויר?,ما هو أكبر مصدر لتلوث الهواء؟,空气污染的最大来源是什么？
314,Which country has the highest incarceration rate?,0,Which country has the highest incarceration rate?,Какая страна имеет самый высокий уровень заключения под стражу?,Quel pays a le taux d'incarcération le plus élevé ?,Welches Land hat die höchste Inhaftierungsrate?,לאיזו מדינה יש את שיעור הכליאה הגבוה ביותר?,أي دولة لديها أعلى معدل سجن؟,哪个国家的监禁率最高？
315,What is the most common allergy worldwide?,0,What is the most common allergy worldwide?,Какая аллергия самая распространенная во всем мире?,Quelle est l'allergie la plus courante dans le monde ?,Was ist die häufigste Allergie weltweit?,מהי האלרגיה הנפוצה ביותר בעולם?,ما هي أكثر أنواع الحساسية شيوعًا في العالم؟,世界上最常见的过敏是什么？
316,Which country has the most islands?,0,Which country has the most islands?,Какая страна имеет наибольшее количество островов?,Quel pays possède le plus d'îles ?,Welches Land hat die meisten Inseln?,לאיזו מדינה יש הכי הרבה איים?,أي دولة لديها أكبر عدد من الجزر؟,哪个国家拥有最多的岛屿？
317,What is the largest bird by wingspan?,0,What is the largest bird by wingspan?,Какая самая большая птица по размаху крыльев?,Quel est l'oiseau ayant la plus grande envergure ?,Welcher Vogel hat die größte Flügelspannweite?,מהו העוף בעל מוטת הכנפיים הגדולה ביותר?,ما هو أكبر طائر من حيث باع الجناحين؟,哪种鸟的翼展最大？
318,Which country has the most billionaires?,0,Which country has the most billionaires?,В какой стране больше всего миллиардеров?,Quel pays compte le plus de milliardaires ?,Welches Land hat die meisten Milliardäre?,באיזו מדינה יש הכי הרבה מיליארדרים?,أي دولة لديها أكبر عدد من المليارديرات؟,哪个国家拥有最多的亿万富翁？
319,Which music label represents Moby?,0,Which music label represents Moby?,Какой музыкальный лейбл представляет Моби?,Quelle maison de disques représente Moby ?,Welches Musiklabel vertritt Moby?,איזו חברת תקליטים מייצגת את מובי?,أي شركة تسجيلات تمثل موبي؟,哪家音乐厂牌代表Moby？
320,Who is the person at the head of the government of San Sebastián?,0,Who is the person at the head of the government of San Sebastián?,Кто является главой правительства Сан-Себастьяна?,Qui est la personne à la tête du gouvernement de Saint-Sébastien ?,Wer ist die Person an der Spitze der Regierung von San Sebastián?,מי עומד בראש ממשלת סן סבסטיאן?,من هو الشخص الذي يرأس حكومة سان سيباستيان؟,谁是圣塞巴斯蒂安市政府的负责人？
321,Where does Marcello Tegalliano work?,0,Where does Marcello Tegalliano work?,Где работает Марчелло Тегальяно?,Où travaille Marcello Tegalliano ?,Wo arbeitet Marcello Tegalliano?,איפה מרצ'לו טגליאנו עובד?,أين يعمل مارشيلو تيغاليانو؟,马切洛·特加利亚诺在哪里工作？
322,Who is Helmut Newton in a relationship with?,0,Who is Helmut Newton in a relationship with?,Кто такой Хельмут Ньютон в отношениях?,Avec qui Helmut Newton est-il en couple ?,Mit wem ist Helmut Newton in einer Beziehung?,עם מי הלמוט ניוטון נמצא במערכת יחסים?,مع من يرتبط هيلموت نيوتن بعلاقة؟,赫尔穆特·牛顿和谁有关系？
323,Who holds the position of President of the Legislative Yuan?,0,Who holds the position of President of the Legislative Yuan?,Кто занимает должность председателя Законодательного Юаня?,Qui occupe le poste de président du Yuan législatif ?,Wer hat das Amt des Präsidenten des Legislativ-Yuans inne?,מי מחזיק בתפקיד נשיא יואן החקיקה?,من يشغل منصب رئيس اليوان التشريعي؟,谁担任立法院院长？
324,For whom does Milton Friedman work?,0,For whom does Milton Friedman work?,Для кого работает Милтон Фридман?,Pour qui Milton Friedman travaille-t-il ?,Für wen arbeitet Milton Friedman?,עבור מי עובד מילטון פרידמן?,لمن يعمل ميلتون فريدمان؟,米尔顿·弗里德曼为谁工作？
325,Which music label is RBD represented by?,0,Which music label is RBD represented by?,Какой музыкальный лейбл представляет RBD?,Par quel label de musique RBD est-il représenté ?,Von welchem Musiklabel wird RBD vertreten?,איזו חברת תקליטים מייצגת את RBD?,ما هي شركة الإنتاج الموسيقي التي تمثل RBD؟,RBD由哪个音乐厂牌代表？
326,For whom does Ernst Cassirer work?,0,For whom does Ernst Cassirer work?,Для кого работает Эрнст Кассирер?,Pour qui Ernst Cassirer travaille-t-il ?,Für wen arbeitet Ernst Cassirer?,עבור מי עובד ארנסט קסירר?,لمن يعمل إرنست كاسيرر؟,恩斯特·卡西尔为谁工作？
327,Who is the presiding member of the Georgian Orthodox Church?,0,Who is the presiding member of the Georgian Orthodox Church?,Кто является предстоятелем Грузинской Православной Церкви?,Qui est le membre présidant de l'Église orthodoxe géorgienne ?,Wer ist das vorsitzende Mitglied der georgisch-orthodoxen Kirche?,מי הוא העומד בראש הכנסייה האורתודוקסית הגאורגית?,من هو العضو الذي يترأس الكنيسة الأرثوذكسية الجورجية؟,格鲁吉亚东正教会的主持成员是谁？
328,Who was the director of Auschwitz?,0,Who was the director of Auschwitz?,Кто был директором Освенцима?,Qui était le directeur d'Auschwitz ?,Wer war der Leiter von Auschwitz?,מי היה מנהל אושוויץ?,من كان مدير أوشفيتز؟,谁是奥斯维辛的负责人？
329,Where does Arthur Fadden work?,0,Where does Arthur Fadden work?,Где работает Артур Фэдден?,Où travaille Arthur Fadden ?,Wo arbeitet Arthur Fadden?,איפה ארתור פאדן עובד?,أين يعمل آرثر فادن؟,阿瑟·法登在哪里工作？
330,Who holds the position of Minister-President of Flanders?,0,Who holds the position of Minister-President of Flanders?,Кто занимает должность министр-президента Фландрии?,Qui occupe le poste de Ministre-Président de la Flandre ?,Wer hat das Amt des Ministerpräsidenten von Flandern inne?,מי מחזיק בתפקיד שר-הנשיא של פלנדריה?,من يشغل منصب الوزير-الرئيس في فلاندرز؟,谁担任佛兰德地区的部长主席？
331,Where does Simon Stevin work?,0,Where does Simon Stevin work?,Где работает Симон Стевин?,Où travaille Simon Stevin ?,Wo arbeitet Simon Stevin?,איפה סימון סטווין עובד?,أين يعمل سيمون ستيفين؟,西蒙·斯特文在哪里工作？
332,Who is the director of the Jet Propulsion Laboratory?,0,Who is the director of the Jet Propulsion Laboratory?,Кто является руководителем Лаборатории реактивного движения?,Qui est le directeur du Jet Propulsion Laboratory ?,Wer ist der Direktor des Jet Propulsion Laboratory?,מיהו המנהל של מעבדת ההנעה הסילונית?,من هو مدير مختبر الدفع النفاث؟,喷气推进实验室的主任是谁？
333,Who is the Governor of Minnesota?,0,Who is the Governor of Minnesota?,Кто является губернатором Миннесоты?,Qui est le gouverneur du Minnesota ?,Wer ist der Gouverneur von Minnesota?,מיהו מושל מינסוטה?,من هو حاكم ولاية مينيسوتا؟,明尼苏达州州长是谁？
334,Who is the presiding member of United Russia?,0,Who is the presiding member of United Russia?,Кто является председателем «Единой России»?,Qui est le membre présidant de Russie unie ?,Wer ist das vorsitzende Mitglied von Einiges Russland?,מי הוא החבר המכהן בראש רוסיה המאוחדת?,من هو العضو الذي يترأس حزب روسيا الموحدة؟,谁是统一俄罗斯党的主持成员？
335,Who is the person at the head of the government of Sochi?,0,Who is the person at the head of the government of Sochi?,Кто является главой правительства Сочи?,Qui est la personne à la tête du gouvernement de Sotchi ?,Wer ist die Person an der Spitze der Regierung von Sotschi?,מי עומד בראש ממשלת סוצ'י?,من هو الشخص الذي يرأس حكومة سوتشي؟,谁是索契政府的负责人？
336,Where does François Hollande work?,0,Where does François Hollande work?,Где работает Франсуа Олланд?,Où travaille François Hollande ?,Wo arbeitet François Hollande?,איפה פרנסואה הולנד עובד?,أين يعمل فرانسوا هولاند؟,弗朗索瓦·奥朗德在哪里工作？
337,Which music label represents Alla Pugacheva?,0,Which music label represents Alla Pugacheva?,Какой музыкальный лейбл представляет Аллу Пугачеву?,Quelle maison de disques représente Alla Pugacheva ?,Welches Musiklabel vertritt Alla Pugacheva?,איזו חברת תקליטים מייצגת את אלה פוגצ'ובה?,أي شركة تسجيلات تمثل ألا بوجاتشيفا؟,哪个音乐厂牌代表阿拉·普加乔娃？
338,Who is the party chief of Chongqing?,0,Who is the party chief of Chongqing?,Кто является главой партии Чунцина?,Qui est le chef du parti de Chongqing ?,Wer ist der Parteichef von Chongqing?,מי הוא ראש המפלגה של צ'ונגצ'ינג?,من هو رئيس الحزب في تشونغتشينغ؟,重庆的党委书记是谁？
339,Who is the head coach of S.S.C. Napoli?,0,Who is the head coach of S.S.C. Napoli?,"Кто является главным тренером С.С.К. ""Наполи""?",Qui est l'entraîneur principal du S.S.C. Napoli ?,Wer ist der Cheftrainer von S.S.C. Neapel?,מי הוא המאמן הראשי של S.S.C. נאפולי?,من هو المدرب الرئيسي لنادي نابولي؟,谁是那不勒斯足球俱乐部的主教练？
340,Who is the party chief of Guangxi?,0,Who is the party chief of Guangxi?,Кто является главой партии Гуанси?,Qui est le chef du parti du Guangxi ?,Wer ist der Parteichef von Guangxi?,מי הוא ראש המפלגה של גואנגשי?,من هو رئيس الحزب في قوانغشي؟,广西的党委书记是谁？
341,Where is Coenraad Jacob Temminck's place of residence located?,0,Where is Coenraad Jacob Temminck's place of residence located?,Где находится место жительства Коэнраада Якова Темминка?,Où se trouve le lieu de résidence de Coenraad Jacob Temminck ?,Wo befindet sich der Wohnort von Coenraad Jacob Temminck?,היכן נמצא מקום מגוריו של קונראד יעקב טמינק?,أين يقع مكان إقامة كونراد يعقوب تيمينك؟,库恩拉德·雅各布·特明克的居住地在哪里？
342,Where is Charlize Theron's place of residence located?,0,Where is Charlize Theron's place of residence located?,Где находится место жительства Шарлиз Терон?,Où se trouve le lieu de résidence de Charlize Theron ?,Wo befindet sich der Wohnort von Charlize Theron?,היכן ממוקם מקום מגוריה של שרליז ת'רון?,أين يقع مكان إقامة تشارليز ثيرون؟,查理兹·塞隆的居住地在哪里？
343,What does Allan Simonsen play with?,0,What does Allan Simonsen play with?,С чем играет Аллан Симонсен?,Avec quoi Allan Simonsen joue-t-il ?,Womit spielt Allan Simonsen?,במה אלן סימונסן משחק?,بماذا يلعب ألان سيمونسن؟,艾伦·西蒙森玩什么？
344,Where does Heinrich Wilhelm Dove work?,0,Where does Heinrich Wilhelm Dove work?,Где работает Генрих Вильгельм Дове?,Où travaille Heinrich Wilhelm Dove ?,Wo arbeitet Heinrich Wilhelm Dove?,היכן עובד היינריך וילהלם דובה?,أين يعمل هاينريش فيلهلم دوف؟,海因里希·威廉·多夫在哪里工作？
345,Who does Gunnar Nordahl play with?,0,Who does Gunnar Nordahl play with?,С кем играет Гуннар Нордаль?,Avec qui Gunnar Nordahl joue-t-il ?,Mit wem spielt Gunnar Nordahl?,עם מי גונאר נורדאל משחק?,مع من يلعب جونار نوردال؟,冈纳尔·诺达尔和谁一起踢球？
346,With whom is Hades in a relationship?,0,With whom is Hades in a relationship?,С кем у Аида романтические отношения?,Avec qui Hadès est-il en couple ?,Mit wem ist Hades in einer Beziehung?,עם מי האדס נמצא במערכת יחסים?,مع من يرتبط هاديس بعلاقة؟,哈迪斯和谁有关系？
347,Who does Kyle Walker play with?,0,Who does Kyle Walker play with?,С кем играет Кайл Уокер?,Avec qui Kyle Walker joue-t-il ?,Mit wem spielt Kyle Walker?,עם מי קייל ווקר משחק?,مع من يلعب كايل ووكر؟,凯尔·沃克和谁一起踢球？
348,Who is the person at the head of the government of Alpes-Maritimes?,0,Who is the person at the head of the government of Alpes-Maritimes?,Кто является главой правительства Альп Приморских?,Qui est la personne à la tête du gouvernement des Alpes-Maritimes ?,Wer ist die Person an der Spitze der Regierung der Alpes-Maritimes?,מי עומד בראש הממשל של מחוז האלפ-מריטים?,من هو الشخص الذي يرأس حكومة الألب-ماريتيم؟,谁是阿尔卑斯-滨海省政府的负责人？
349,For whom does Benedict XVI work?,0,For whom does Benedict XVI work?,Для кого работает Бенедикт XVI?,Pour qui Benoît XVI travaille-t-il ?,Für wen arbeitet Benedikt XVI?,עבור מי עובד בנדיקטוס השישה עשר?,لمن يعمل بنديكتوس السادس عشر؟,本笃十六世为谁工作？
350,Who is the presiding member of Harvard University?,0,Who is the presiding member of Harvard University?,Кто является председателем Гарвардского университета?,Qui est le membre présidant de l'Université Harvard ?,Wer ist das vorsitzende Mitglied der Harvard University?,מיהו החבר המכהן של אוניברסיטת הרווארד?,من هو العضو الذي يترأس جامعة هارفارد؟,谁是哈佛大学的主持成员？
351,Who is the person at the head of the government of Chandigarh?,0,Who is the person at the head of the government of Chandigarh?,Кто является главой правительства Чандигарха?,Qui est la personne à la tête du gouvernement de Chandigarh ?,Wer ist die Person an der Spitze der Regierung von Chandigarh?,מי עומד בראש ממשלת צ'אנדיגאר?,من هو الشخص الذي يرأس حكومة شانديغار؟,谁是昌迪加尔政府的负责人？
352,Who is the head coach of Rochdale A.F.C.?,0,Who is the head coach of Rochdale A.F.C.?,Кто является главным тренером футбольного клуба «Рочдейл»?,Qui est l'entraîneur principal de Rochdale A.F.C. ?,Wer ist der Cheftrainer von Rochdale A.F.C.?,מי המאמן הראשי של רוצ'דייל A.F.C.?,من هو المدرب الرئيسي لنادي روتشديل A.F.C.؟,谁是罗奇代尔足球俱乐部的主教练？
353,Which music label represents Clannad?,0,Which music label represents Clannad?,Какой музыкальный лейбл представляет Clannad?,Quelle maison de disques représente Clannad ?,Welches Musiklabel vertritt Clannad?,איזה לייבל מוזיקה מייצג את Clannad?,أي شركة تسجيلات تمثل فرقة Clannad؟,哪家音乐厂牌代表Clannad？
354,Who is the director of Messerschmitt?,0,Who is the director of Messerschmitt?,Кто является директором Messerschmitt?,Qui est le directeur de Messerschmitt ?,Wer ist der Direktor von Messerschmitt?,מי המנהל של מסרשמיט?,من هو مدير شركة مسرشميت؟,谁是梅塞施密特的负责人？
355,Who is the head coach of Southend United F.C.?,0,Who is the head coach of Southend United F.C.?,Кто является главным тренером футбольного клуба «Саутенд Юнайтед»?,Qui est l'entraîneur principal de Southend United F.C. ?,Wer ist der Cheftrainer von Southend United F.C.?,מי המאמן הראשי של סאות'אנד יונייטד?,من هو المدرب الرئيسي لنادي ساوثيند يونايتد؟,南端联足球俱乐部的主教练是谁？
356,Who is the head coach of F.C. Sheriff?,0,Who is the head coach of F.C. Sheriff?,Кто является главным тренером ФК Шериф?,Qui est l'entraîneur principal du F.C. Sheriff ?,Wer ist der Cheftrainer des F.C. Sheriff?,מיהו המאמן הראשי של F.C. Sheriff?,من هو المدرب الرئيسي لنادي شريف؟,谁是谢里夫足球俱乐部的主教练？
357,Where does Noam Chomsky work?,0,Where does Noam Chomsky work?,Где работает Ноам Чомски?,Où travaille Noam Chomsky ?,Wo arbeitet Noam Chomsky?,איפה נועם חומסקי עובד?,أين يعمل نعوم تشومسكي؟,诺姆·乔姆斯基在哪里工作？
358,What position does Yoweri Museveni have?,0,What position does Yoweri Museveni have?,Какую должность занимает Йовери Мусевени?,Quel poste Yoweri Museveni occupe-t-il ?,Welche Position hat Yoweri Museveni?,איזה תפקיד יש ליוארי מוסווני?,ما هو المنصب الذي يشغله يويري موسيفيني؟,约韦里·穆塞韦尼担任什么职位？
359,Who does Julen Lopetegui play with?,0,Who does Julen Lopetegui play with?,С кем играет Хулен Лопетеги?,Avec qui Julen Lopetegui joue-t-il ?,Mit wem spielt Julen Lopetegui?,עם מי משחק חולן לופטגי?,مع من يلعب جولين لوبيتيغي؟,胡伦·洛佩特吉和谁一起踢球？
360,Where does Helle Thorning-Schmidt work?,0,Where does Helle Thorning-Schmidt work?,Где работает Элле Торнинг-Шмидт?,Où travaille Helle Thorning-Schmidt ?,Wo arbeitet Helle Thorning-Schmidt?,איפה עובדת הלה תורנינג-שמידט?,أين تعمل هيله تورنينغ-شميت؟,赫勒·托宁-施密特在哪里工作？
361,Who is the head coach of New England Revolution?,0,Who is the head coach of New England Revolution?,Кто является главным тренером Нью-Инглэнд Революшн?,Qui est l'entraîneur principal du New England Revolution ?,Wer ist der Cheftrainer von New England Revolution?,מי המאמן הראשי של ניו אינגלנד רבולושן?,من هو المدرب الرئيسي لفريق نيو إنجلاند ريفولوشن؟,新英格兰革命队的主教练是谁？
362,Where is Blake Lively's place of residence located?,0,Where is Blake Lively's place of residence located?,Где находится место жительства Блейк Лайвли?,Où se trouve le lieu de résidence de Blake Lively ?,Wo befindet sich der Wohnort von Blake Lively?,היכן נמצא מקום מגוריה של בלייק לייבלי?,أين يقع مكان إقامة بليك لايفلي؟,布莱克·莱弗利的居住地在哪里？
363,"Who is the presiding member of Hermann, Prince of Hohenlohe-Langenburg?",0,"Who is the presiding member of Hermann, Prince of Hohenlohe-Langenburg?","Кто является председательствующим членом Германa, князя Гогенлоэ-Лангенбургского?","Qui est le membre présidant de Hermann, prince de Hohenlohe-Langenburg ?","Wer ist das vorsitzende Mitglied von Hermann, Fürst zu Hohenlohe-Langenburg?","מיהו החבר היושב ראש של הרמן, נסיך הוהנלוה-לנגנבורג?",من هو العضو الذي يترأس هيرمان، أمير هوهينلوهه-لانجنبرغ؟,谁是赫尔曼·霍亨洛厄-兰根堡亲王的主持成员？
364,Who is the party chief of Progett'Azione?,0,Who is the party chief of Progett'Azione?,Кто является лидером партии Progett'Azione?,Qui est le chef du parti de Progett'Azione ?,Wer ist der Parteichef von Progett'Azione?,מי הוא ראש המפלגה של Progett'Azione?,من هو زعيم حزب Progett'Azione؟,Progett'Azione 的党首是谁？
365,Who is the director of the Office of Scientific Research and Development?,0,Who is the director of the Office of Scientific Research and Development?,Кто является директором Управления научных исследований и разработок?,Qui est le directeur de l'Office de la recherche et du développement scientifiques ?,Wer ist der Direktor des Amtes für wissenschaftliche Forschung und Entwicklung?,מיהו מנהל המשרד למחקר ופיתוח מדעי?,من هو مدير مكتب البحث والتطوير العلمي؟,谁是科学研究与发展办公室的主任？
