,is_evergreen,en_Answer,English,French,German,Hebrew,Arabic,Chinese,Russian
230,1,"The story ""The District Doctor"" or ""The Superintendent"" was written by Ivan Turgenev, however a more common translation of ""Бурмистр"" is ""The Bailiff"".",Who wrote the short story 'Burmistr'?,Qui a écrit la nouvelle 'Burmistr' ?,Wer hat die Kurzgeschichte 'Burmistr' geschrieben?,מי כתב את הסיפור הקצר 'Burmistr'?,من كتب القصة القصيرة 'Burmistr'؟,谁写了短篇小说《Burmistr》？,"Кто написал рассказ ""Бурмистр""?"
231,1,"Rockefeller Plateau is located in Antarctica, in the western part of Marie Byrd Land.",Where is the Rockefeller Plateau located?,Où se trouve le plateau Rockefeller ?,Wo befindet sich das Rockefeller-Plateau?,היכן נמצא רמת רוקפלר?,أين يقع هضبة روكفلر؟,洛克菲勒高原位于哪里？,Где находится Рокфеллер Плато?
232,1,The Chocolate Hills are a geological formation in the province of Bohol in the Philippines.,In which Asian country is the landmark called 'Chocolate Hills' located?,Dans quel pays asiatique se trouve le site appelé 'Chocolate Hills' ?,In welchem asiatischen Land befindet sich das Wahrzeichen namens 'Chocolate Hills'?,באיזו מדינה אסייתית נמצא האתר המפורסם בשם 'Chocolate Hills'?,في أي دولة آسيوية يقع المعلم المعروف باسم 'Chocolate Hills'؟,‘巧克力山丘’这一地标位于哪个亚洲国家？,"В какой азиатской стране находится достопримечательность, называемая ""шоколадные холмы""?"
233,1,"The famous Danish physicist Niels Bohr was enthusiastic about football and was a goalkeeper for the Akademisk club, his brother Harald played for the same club.","In which sport did the scientist Niels Bohr and his brother Harald, who played for the Danish national team, achieve success?","Dans quel sport le scientifique Niels Bohr et son frère Harald, qui a joué pour l'équipe nationale danoise, ont-ils connu du succès ?","In welcher Sportart hatten der Wissenschaftler Niels Bohr und sein Bruder Harald, der für die dänische Nationalmannschaft spielte, Erfolg?","באיזה ספורט זכו המדען נילס בוהר ואחיו הרלד, ששיחק בנבחרת דנמרק, להצלחה?",في أي رياضة حقق العالِم نيلس بور وشقيقه هارالد، الذي لعب في المنتخب الدنماركي، نجاحًا؟,科学家尼尔斯·玻尔和他的兄弟哈拉尔德（曾为丹麦国家队效力）在哪项运动中取得了成功？,"В каком виде спорта успехов добились учёный Нильс Бор и его брат Харальд, игравший за сборную Дании"
234,1,"Agatha Christie is the famous literary ""mother"" of the detective Hercule Poirot.",What was the name of the literary mother of the amateur detective Poirot?,Quel était le nom de la mère littéraire du détective amateur Poirot ?,Wie hieß die literarische Mutter des Amateurdetektivs Poirot?,מה היה שמה של האם הספרותית של הבלש החובב פוארו?,ما اسم الأم الأدبية للمحقق الهاوي بوارو؟,业余侦探波洛的文学母亲叫什么名字？,Как звали литературную маму сыщика-любителя Пуаро?
235,1,Abyssinia was formerly the name for Ethiopia.,Which country was formerly called 'Abyssinia'?,Quel pays s'appelait autrefois 'Abyssinie' ?,Welches Land wurde früher 'Abessinien' genannt?,איזו מדינה נקראה בעבר 'אתיופיה'?,أي دولة كانت تُسمى سابقًا 'الحبشة'؟,哪个国家以前被称为‘阿比西尼亚’？,"Какую страну раньше называли ""Абиссинией""?"
236,1,"Caledonia is the Latin name used by the Roman Empire to refer to the lands north of Roman Britain, corresponding to modern-day Scotland.",Which country did the Romans call 'Caledonia'?,Quel pays les Romains appelaient-ils 'Caledonia' ?,Welches Land nannten die Römer 'Caledonia'?,איזו מדינה כינו הרומאים 'קלדוניה'?,أي بلد أطلق عليه الرومان اسم 'كاليدونيا'؟,罗马人称为“卡勒多尼亚”的是哪个国家？,"Какую страну римляне называли ""Каледония""?"
237,1,"""Bespechny Angel"" is a cover version by the band ""Aria"" of the song ""Going to the Run"" by Golden Earring.",Who is the composer of Carefree Angel?,Qui est le compositeur de Carefree Angel ?,Wer ist der Komponist von Carefree Angel?,מי המלחין של Carefree Angel?,من هو ملحن Carefree Angel؟,《Carefree Angel》的作曲者是谁？,Чья композиция Беспечный ангел?
238,1,"Dymkovo toy is one of the Russian folk clay crafts that originated in the Zarechnaya Sloboda of Dymkovo, now part of the city of Kirov.",Which regional center is famous for the Dymkovo toy?,Quel centre régional est célèbre pour le jouet Dymkovo ?,Welches regionale Zentrum ist berühmt für das Dymkovo-Spielzeug?,איזה מרכז אזורי מפורסם בצעצוע דימקובו?,أي مركز إقليمي مشهور بلعبة ديمكوفو؟,哪个地区中心以季姆科沃玩具闻名？,Какой областной центр знаменит дымковской игрушкой?
239,1,"The social network Facebook was launched by Mark Zuckerberg along with Chris Hughes and Dustin Moskovitz, with financial assistance from Eduardo Saverin.",Who created the social network Facebook?,Qui a créé le réseau social Facebook ?,Wer hat das soziale Netzwerk Facebook gegründet?,מי יצר את הרשת החברתית פייסבוק?,من أنشأ شبكة التواصل الاجتماعي فيسبوك؟,谁创建了社交网络Facebook？,Кто создал социальную сеть Facebook ?
240,1,.co is a top-level domain assigned to Colombia.,Which country does the top-level domain .co belong to?,À quel pays appartient le domaine de premier niveau .co ?,Zu welchem Land gehört die Top-Level-Domain .co?,לאיזו מדינה שייך הדומיין ברמה העליונה ‎.co?,إلى أي دولة ينتمي النطاق الأعلى .co؟,顶级域名.co属于哪个国家？,Какой стране принадлежит домен высшего уровня .co?
241,1,"The Yerkes–Dodson law is an empirical relationship between arousal and performance, originally discovered by psychologists Robert M. Yerkes and John Dillingham Dodson in 1908. The Yerkes-Dodson law in psychology describes the dependence of the best results on the average intensity of motivation.",To which science do the Yerkes-Dodson laws belong?,À quelle science appartiennent les lois de Yerkes-Dodson ?,Zu welcher Wissenschaft gehören die Yerkes-Dodson-Gesetze?,לאיזו תחום מדע שייכים חוקי ירקס-דודסון?,إلى أي علم تنتمي قوانين يركيس-دودسون؟,耶克斯-多德森定律属于哪门科学？,К какой науке относятся законы Йеркса-Додсона?
242,1,Petra is an ancient city located on the territory of modern Jordan.,In which country is the rock city of Petra located?,Dans quel pays se trouve la cité rocheuse de Pétra ?,In welchem Land befindet sich die Felsenstadt Petra?,באיזו מדינה נמצאת עיר הסלע פטרה?,في أي دولة تقع مدينة البتراء الصخرية؟,佩特拉岩石城位于哪个国家？,В какой стране находится скальный город Петра?
243,1,"David Bowie performed under the pseudonym ""Ziggy Stardust"".",Which rock musician performed under the pseudonym 'Ziggy Stardust'?,Quel musicien rock a joué sous le pseudonyme de 'Ziggy Stardust' ?,Welcher Rockmusiker trat unter dem Pseudonym 'Ziggy Stardust' auf?,איזה מוזיקאי רוק הופיע תחת שם הבמה 'זיגי סטארדאסט'?,أي موسيقي روك أدى تحت الاسم المستعار 'زيغي ستاردست'؟,哪位摇滚音乐家以‘Ziggy Stardust’这个化名表演？,"Кто из рок-музыкантов выступал под псевдонимом ""Зигги - звезная пыль""?"
244,1,Tatyana Bulanova married Zenit captain Vladislav Radimov.,"Which singer married the captain of the football team 'Zenit', Vladislav Radimov?","Quelle chanteuse a épousé le capitaine de l'équipe de football 'Zenit', Vladislav Radimov ?","Welche Sängerin hat den Kapitän des Fußballteams 'Zenit', Vladislav Radimov, geheiratet?","איזו זמרת התחתנה עם קפטן קבוצת הכדורגל 'זניט', ולדיסלב רדימוב?",أي مغنية تزوجت قائد فريق كرة القدم 'زينيت'، فلاديسلاف راديموف؟,哪位女歌手嫁给了足球队“泽尼特”的队长弗拉迪斯拉夫·拉季莫夫？,Какая певица вышла замуж за капитана футбольной команды «Зенит» Владислава Радимова?
245,1,"The Napoléon d'or is a French gold coin of 900 fineness; if melted, it yields gold.",What will happen if you melt down a napoleon d'or?,Que se passera-t-il si vous faites fondre un napoléon d'or ?,"Was passiert, wenn man einen Napoleon d’or einschmilzt?",מה יקרה אם תתיך נפוליאון ד'אור?,ماذا سيحدث إذا قمت بإذابة نابليون دور؟,如果你把拿破仑金币熔化了，会发生什么？,"Что получится, если переплавить наполеондор"
246,1,"""'Winter won't be angry for nothing..."" - a poem by F.I. Tyutchev.",Who is the author of the poem 'Winter is angry for a reason?',Qui est l'auteur du poème 'L'hiver est en colère pour une raison' ?,Wer ist der Autor des Gedichts 'Der Winter ist aus einem bestimmten Grund wütend'?,מיהו מחבר השיר 'החורף כועס מסיבה כלשהי'?,من هو مؤلف قصيدة 'الشتاء غاضب لسبب ما'؟,《冬天生气是有原因的》这首诗的作者是谁？,Кто является автором стихотворения Зима недаром злится?
247,1,The administrative center of the Amur Oblast is the city of Blagoveshchensk.,Which city is the administrative center of Amur Oblast?,Quelle ville est le centre administratif de l'oblast de l'Amour ?,Welche Stadt ist das Verwaltungszentrum der Oblast Amur?,איזו עיר היא המרכז המנהלי של מחוז אמור?,ما هي المدينة التي تعد المركز الإداري لمقاطعة أمور؟,阿穆尔州的行政中心是哪座城市？,Какой город является административным центром Амурской области?
248,1,"On May 30, 2000, Volkswagen AG acquired Škoda.",Which car company acquired the Czech 'Škoda' car plants?,Quelle entreprise automobile a acquis les usines automobiles tchèques 'Škoda' ?,Welche Autofirma hat die tschechischen 'Škoda'-Autowerke übernommen?,איזו חברת רכב רכשה את מפעלי הרכב הצ'כיים 'סקודה'?,أي شركة سيارات استحوذت على مصانع السيارات التشيكية 'شكودا'؟,哪家汽车公司收购了捷克的“斯柯达”汽车工厂？,"Какая автомобильная компания прикупила автозаводы чешской ""Шкоды""?"
249,1,The island of Haiti (Hispaniola) is divided between Haiti and the Dominican Republic.,Which country 'shares' the island of Haiti with Haiti?,Quel pays 'partage' l'île d'Haïti avec Haïti ?,Welches Land 'teilt' sich die Insel Haiti mit Haiti?,איזו מדינה 'חולקת' את האי האיטי עם האיטי?,أي دولة 'تشارك' جزيرة هايتي مع هايتي؟,哪个国家与海地‘共享’海地岛？,"Какая страна ""делит"" остров Гаити с Гаити?"
250,1,Munich is the regional capital of Bavaria.,Munich is the capital of which region?,Munich est la capitale de quelle région ?,München ist die Hauptstadt welcher Region?,מינכן היא בירת איזו אזור?,ميونخ هي عاصمة أي منطقة؟,慕尼黑是哪个地区的首府？,Столицей какого региона является Мюнхен?
251,1,Ella Fitzgerald and Billie Holiday were jazz musicians.,In which musical genre did Ella Fitzgerald and Billie Holiday become famous?,Dans quel genre musical Ella Fitzgerald et Billie Holiday sont-elles devenues célèbres ?,In welchem Musikgenre wurden Ella Fitzgerald und Billie Holiday berühmt?,באיזה סגנון מוזיקלי התפרסמו אלה פיצג'רלד ובילי הולידיי?,في أي نوع موسيقي أصبحت إيلا فيتزجيرالد وبيلي هوليداي مشهورتين؟,艾拉·菲茨杰拉德和比莉·哈乐黛是在哪种音乐类型中成名的？,В каком музыкальном направлении прославились Элла Фицджеральд и Билли Холидей?
252,1,"The cause of Vladimir Etush's death was most likely heart problems, as he had suffered a massive heart attack a month before his death.",What was the cause of death of Vladimir Etush?,Quelle a été la cause du décès de Vladimir Etush ?,Was war die Todesursache von Vladimir Etush?,מה הייתה סיבת המוות של ולדימיר אטוש?,ما سبب وفاة فلاديمير إيتوش؟,弗拉基米尔·叶图什的死因是什么？,Какая причина смерти Владимира Этуша?
253,1,Barack Obama's father was from Kenya.,Which African country is the homeland of Barack Obama's ancestors?,Quel pays africain est la patrie des ancêtres de Barack Obama ?,Welches afrikanische Land ist die Heimat der Vorfahren von Barack Obama?,איזו מדינה אפריקאית היא מולדת אבותיו של ברק אובמה?,أي دولة أفريقية هي موطن أسلاف باراك أوباما؟,哪个非洲国家是巴拉克·奥巴马祖先的故乡？,Какая африканская страна является родиной предков Барака Обамы?
254,1,Nizhny Novgorod is the capital of Nizhny Novgorod Oblast and the Volga Federal District.,What is Nizhny Novgorod the capital of?,Nijni Novgorod est la capitale de l'oblast de Nijni Novgorod en Russie.,Nischni Nowgorod ist die Hauptstadt der Oblast Nischni Nowgorod in Russland.,ניז'ני נובגורוד היא בירת מחוז ניז'ני נובגורוד ברוסיה.,نيجني نوفغورود هي عاصمة مقاطعة نيجني نوفغورود في روسيا.,下诺夫哥罗德是俄罗斯下诺夫哥罗德州的首府。,Столицей чего является Нижний Новгород?
255,1,"The main credit for the creation of the modern method of coordinates belongs to the great French mathematician, philosopher, and naturalist René Descartes. Leonhard Euler was the first to begin applying the coordinate method in three-dimensional space.",Which scientist is credited with the invention of the coordinate system in mathematics?,Quel scientifique est crédité de l'invention du système de coordonnées en mathématiques ?,Welcher Wissenschaftler wird mit der Erfindung des Koordinatensystems in der Mathematik in Verbindung gebracht?,איזה מדען זוכה לקרדיט על המצאת מערכת הקואורדינטות במתמטיקה?,أي عالم يُنسب إليه اختراع نظام الإحداثيات في الرياضيات؟,哪位科学家被认为发明了数学中的坐标系？,Какому учёному принадлежит изобретение системы координат в математике?
256,1,The sources of the Yenisei are the rivers By-Khem (Big Yenisei) and Ka-Khem (Little Yenisei).,What is the result of the confluence of the Bii-Khem and Ka-Khem rivers?,Quel est le résultat de la confluence des rivières Bii-Khem et Ka-Khem ?,Was ist das Ergebnis des Zusammenflusses der Flüsse Bii-Khem und Ka-Khem?,מהי התוצאה של המפגש בין נהרות בי-חם וקא-חם?,ما هي نتيجة التقاء نهري بيي-خيم وكا-خيم؟,比-赫姆河和卡-赫姆河汇合的结果是什么？,Что является результатом слияния Бий-Хема и Ка-Хема?
257,1,"The Leaning Tower of Pisa is the bell tower of the Cathedral of Pisa (Italy), located in the Square of the Cathedral, which is often called the ""Square of Miracles"".","Which of the towers is located on Cathedral Square, which is often called the Field of Wonders?","Laquelle des tours est située sur la place de la Cathédrale, souvent appelée le Champ des Merveilles ?","Welcher der Türme befindet sich auf dem Domplatz, der oft als Feld der Wunder bezeichnet wird?","איזה מהמגדלים נמצא בכיכר הקתדרלה, שלעיתים נקראת שדה הפלאות?",أي من الأبراج يقع في ساحة الكاتدرائية، التي غالبًا ما تُسمى ساحة العجائب؟,哪一座塔位于经常被称为奇迹广场的大教堂广场上？,"Какая из башен стоит на Соборной площади, которую часто называют Поле чудес?"
258,1,"Vladimir Putin has been involved in sambo, judo, and other martial arts, and has also been fond of alpine skiing, rafting, and hockey.",What kind of sport was the President of the Russian Federation V.V. Putin interested in?,"Quel type de sport intéressait le président de la Fédération de Russie, V.V. Poutine ?","Für welche Sportart interessierte sich der Präsident der Russischen Föderation, W. W. Putin?","באיזה סוג ספורט התעניין נשיא הפדרציה הרוסית, ו. ו. פוטין?",ما نوع الرياضة التي كان يهتم بها رئيس الاتحاد الروسي فلاديمير بوتين؟,俄罗斯联邦总统弗拉基米尔·普京对哪种运动感兴趣？,Каким видом спорта увлекался президент РФ В.В.Путин?
259,1,The Amber Room can be admired in the suburb of St. Petersburg - Pushkin.,In which suburb of Saint Petersburg can one admire the Amber Room?,Dans quelle banlieue de Saint-Pétersbourg peut-on admirer la Chambre d'Ambre ?,In welchem Vorort von Sankt Petersburg kann man das Bernsteinzimmer bewundern?,באיזה פרבר של סנט פטרסבורג ניתן להתרשם מחדר הענבר?,في أي ضاحية من ضواحي سانت بطرسبرغ يمكن للمرء أن يعجب بغرفة الكهرمان؟,在圣彼得堡的哪个郊区可以欣赏到琥珀屋？,"""В каком пригороде Санкт-Петербурга можно полюбоваться Янтарной комнатой?"""
260,1,"The action of Shakespeare's play ""Hamlet"" takes place in Elsinore.",Which Shakespeare play is set in Elsinore?,Quelle pièce de Shakespeare se déroule à Elseneur ?,Welches Shakespeare-Stück spielt in Elsinore?,באיזו מחזה של שייקספיר העלילה מתרחשת באלסינור?,أي مسرحية لشكسبير تدور أحداثها في إلسينور؟,哪部莎士比亚的戏剧以埃尔西诺为背景？,Действие какой пьесы Шекспира происходит в Эльсиноре?
261,1,The Ussuri River empties into the Amur and is considered its right tributary.,Where does the Ussuri River flow into?,Où le fleuve Oussouri se jette-t-il ?,In welchen Fluss mündet der Ussuri?,לאן נשפך נהר האוסורי?,إلى أين يصب نهر الأوسوري؟,乌苏里江流入哪里？,Куда впадает река Уссури?
262,1,The Four Horsemen of the Apocalypse (Warriors of the Apocalypse) is a painting by the Russian artist Viktor Vasnetsov.,Which artist is the author of the painting 'Warriors of the Apocalypse'?,Quel artiste est l'auteur du tableau 'Warriors of the Apocalypse' ?,Welcher Künstler ist der Autor des Gemäldes 'Warriors of the Apocalypse'?,איזה אמן הוא יוצר הציור 'Warriors of the Apocalypse'?,من هو الفنان الذي رسم لوحة 'Warriors of the Apocalypse'؟,哪位艺术家是《Warriors of the Apocalypse》这幅画的作者？,Какой художник является автором картины «Воины Апокалипсиса»?
263,1,"Margaret Mitchell was an American writer and journalist, author of the novel ""Gone with the Wind"".",Which novel made Margaret Mitchell famous?,Quel roman a rendu Margaret Mitchell célèbre ?,Welcher Roman machte Margaret Mitchell berühmt?,איזה רומן הפך את מרגרט מיטשל למפורסמת?,أي رواية جعلت مارغريت ميتشل مشهورة؟,哪部小说让玛格丽特·米切尔成名？,Какой роман прославил имя Маргарет Митчелл?
264,1,Saint Andrew the Apostle (Saint Andrew the First-Called) is considered the patron saint of Scotland.,Who is considered the patron saint of Scotland?,Qui est considéré comme le saint patron de l'Écosse ?,Wer gilt als der Schutzpatron von Schottland?,מי נחשב לקדוש הפטרון של סקוטלנד?,من يُعتبر القديس الراعي لاسكتلندا؟,谁被认为是苏格兰的守护圣人？,Кто считается покровителем Шотландии?
265,1,"The author of ""Composition VI"" is Wassily Kandinsky.",Who is the author of 'Composition VI'?,Qui est l'auteur de 'Composition VI' ?,Wer ist der Autor von 'Composition VI'?,מיהו מחבר 'Composition VI'?,من هو مؤلف 'Composition VI'؟,《Composition VI》的作者是谁？,"Кто является автором ""Композиции VI""?"
266,1,The rank of major is preceded by the rank of captain.,What military rank comes before major?,Quel grade militaire vient avant celui de commandant ?,Welcher militärische Rang kommt vor dem Major?,איזה דרגה צבאית באה לפני רס״ן?,ما هي الرتبة العسكرية التي تسبق رتبة رائد؟,哪个军衔在少校之前？,Какое воинское звание предшествует майору?
267,1,"Symphony No. 45 in F-sharp minor, known as the ""Farewell"", was composed by Joseph Haydn.",Who composed the Farewell Symphony?,Qui a composé la Symphonie des adieux ?,Wer hat die Abschiedssymphonie komponiert?,מי הלחין את סימפוניית הפרידה?,من ألّف سيمفونية الوداع؟,谁创作了告别交响曲？,Кто сочинил симфонию Прощальную?
268,1,The Nobel laureate in literature for 2016 was American poet and singer Bob Dylan.,Who won the Nobel Prize in Literature in 2016?,Qui a remporté le prix Nobel de littérature en 2016 ?,Wer hat 2016 den Nobelpreis für Literatur gewonnen?,מי זכה בפרס נובל לספרות בשנת 2016?,من فاز بجائزة نوبل للأدب في عام 2016؟,2016年谁获得了诺贝尔文学奖？,Кто в 2016 году стал обладателем Нобелевской премии по литературе?
269,1,"Oscar Niemeyer, together with his teacher Lúcio Costa, created the project for the new capital of Brazil - the city of Brasília.",Which city did architect Oscar Niemeyer build 'from scratch'?,Quelle ville l'architecte Oscar Niemeyer a-t-il construite à partir de zéro ?,Welche Stadt hat der Architekt Oscar Niemeyer von Grund auf gebaut?,איזו עיר בנה האדריכל אוסקר נימאייר מאפס?,أي مدينة بناها المهندس المعماري أوسكار نيماير من الصفر؟,建筑师奥斯卡·尼迈耶从零开始建造了哪座城市？,Какой город архитектор Оскар Нимейер возвел ''на пустом месте''?
270,1,"Norwegian ethnographer and archaeologist Thor Heyerdahl organized expeditions on the raft Kon-Tiki and the papyrus boat Ra-1, the latter of which included Russian traveler Yuri Senkevich.",Who sailed on the papyrus boat 'Ra' and on the raft 'Kon-Tiki'?,Qui a navigué sur le bateau en papyrus 'Ra' et sur le radeau 'Kon-Tiki' ?,Wer segelte auf dem Papyrusboot 'Ra' und auf dem Floß 'Kon-Tiki'?,מי הפליג על סירת הפפירוס 'רא' ועל הרפסודה 'קון-טיקי'?,من أبحر على قارب البردي 'را' وعلى الطوف 'كون-تيكي'؟,谁曾乘坐纸莎草船“拉号”和木筏“康提基号”航行？,"Кто плавал на папирусной лодке ""Ра"" и на плоту ""Кон-Тики""?"
271,1,"Freddie Mercury's singing voice had several rare characteristics: it was characterized by a high frequency modulation, allowing him to sing high-frequency vibrato; singing with overtones (also found in Tuvan throat singing). Contrary to his popular image, Mercury was likely a baritone who sang as a tenor, masterfully manipulating his voice.",What is Freddie Mercury's vocal timbre?,Quel est le timbre vocal de Freddie Mercury ?,Wie ist das Stimmtimbre von Freddie Mercury?,מהו גוון הקול של פרדי מרקיורי?,ما هو طابع صوت فريدي ميركوري؟,弗雷迪·默丘里的嗓音音色是什么？,Какой тембр голоса у Фредди Меркьюри?
272,1,Yulia Nachalova is buried at the Troekurovskoye Cemetery in Moscow.,Where is Yulia Nachalova buried?,Où est enterrée Yulia Nachalova ?,Wo ist Yulia Nachalova begraben?,איפה יוליה נאצ'לובה קבורה?,أين دُفنت يوليا ناتشالوفا؟,尤利娅·纳查洛娃埋葬在哪里？,Где похоронена Юлия Началова?
273,1,Momentum is a vector quantity in physics that is obtained by calculating the product of mass and velocity.,What do you need to multiply by velocity to get momentum?,Par quoi faut-il multiplier la vitesse pour obtenir la quantité de mouvement ?,"Mit welchem Wert muss man die Geschwindigkeit multiplizieren, um den Impuls zu erhalten?",במה צריך להכפיל את המהירות כדי לקבל תנע?,بماذا يجب أن تضرب السرعة لتحصل على الزخم؟,要得到动量，需要用什么乘以速度？,"Что надо умножить на скорость, чтобы получить импульс?"
274,1,Zinin and Berthollet were chemists.,To which science did Zinin and Berthelot devote themselves?,À quelle science Zinin et Berthelot se sont-ils consacrés ?,Welcher Wissenschaft widmeten sich Zinin und Berthelot?,לאיזו מדע הקדישו את עצמם זינין וברטלו?,إلى أي علم كرّس زينين وبرتلو أنفسهما؟,齐宁和贝尔托洛致力于哪门科学？,Какой науке посвятили себя Зинин и Бертолле
275,1,"Normandy, a historical region of France that currently encompasses two regions of the country, Upper Normandy and Lower Normandy, is known for its dairy industry, primarily cheeses such as Camembert, Neufchâtel, Livarot, and Pont-l'Évêque.","Which historical region of France is the birthplace of Camembert, Pont-l'Évêque, Neufchâtel, Livarot cheeses?","Quelle région historique de France est le berceau des fromages Camembert, Pont-l'Évêque, Neufchâtel, Livarot ?","Welche historische Region Frankreichs ist die Heimat der Käsesorten Camembert, Pont-l'Évêque, Neufchâtel und Livarot?","איזה חבל היסטורי בצרפת הוא מקום הולדתם של גבינות קממבר, פונט-ל'אבק, נוישאטל וליבארו?",أي منطقة تاريخية في فرنسا هي مسقط رأس جبن كاممبر، بونت-ليفك، نوفشاتيل، وليفاروت؟,法国的哪个历史地区是卡门贝尔、蓬莱韦克、纽沙泰尔和利瓦罗奶酪的发源地？,"Какая историческая область Франции является родиной сыров Камамбер, Пон-л’Эвек, Нёшатель, Ливаро?"
276,1,"The paintings ""The Green Christ"" and ""The Yellow Christ"" are among the iconic works of Paul Gauguin's Breton period.",Which artist is the author of the paintings 'Yellow Christ' and 'Green Christ'?,Quel artiste est l'auteur des peintures 'Le Christ jaune' et 'Le Christ vert' ?,Welcher Künstler ist der Urheber der Gemälde 'Gelber Christus' und 'Grüner Christus'?,איזה אמן הוא היוצר של הציורים 'המשיח הצהוב' ו'המשיח הירוק'?,من هو الفنان الذي رسم لوحتي 'المسيح الأصفر' و'المسيح الأخضر'؟,哪位艺术家是《黄基督》和《绿基督》这两幅画的作者？,Какой художник является автором картин «Желтый Христос» и «Зелёный Христос»?
277,1,"Panurge is the hero of the 16th-century French writer François Rabelais' novel ""Gargantua and Pantagruel"".",In which novel by François Rabelais was the main character accompanied by a character named Panurge?,Dans quel roman de François Rabelais le personnage principal était-il accompagné d'un personnage nommé Panurge ?,In welchem Roman von François Rabelais wurde die Hauptfigur von einer Figur namens Panurge begleitet?,באיזה רומן של פרנסואה רבלה הדמות הראשית לוותה בדמות בשם פנורג׳?,في أي رواية لفرانسوا رابليه كان الشخصية الرئيسية يرافقه شخصية تدعى بانورج؟,在弗朗索瓦·拉伯雷的哪部小说中，主角有一位名叫帕努尔日的同伴？,В каком романе Франсуа Рабле главного героя сопровождал персонаж по имени Панург?
278,1,The Sasanian Empire succeeded the Parthian Empire.,Which empire succeeded the Parthian Kingdom?,Quel empire a succédé au royaume parthe ?,Welches Reich folgte auf das Partherreich?,איזה אימפריה ירשה את ממלכת הפרתים?,أي إمبراطورية خلفت المملكة البارثية؟,哪个帝国继承了帕提亚王国？,Какая империя пришла на смену парфянскому царству?
279,1,"Steven Seagal has black belts in karate, judo, and kendo. Seagal also holds belts in other martial arts, including aikido, tai chi, kung fu, and kenjutsu.",What martial art does Steven Seagal master virtuously?,Quel art martial Steven Seagal maîtrise-t-il avec virtuosité ?,Welche Kampfkunst beherrscht Steven Seagal meisterhaft?,באיזו אמנות לחימה סטיבן סיגל שולט במיומנות רבה?,ما هي فنون القتال التي يتقنها ستيفن سيغال ببراعة؟,史蒂文·西格尔精通哪种武术？,Каким видом единоборства виртуозно владеет Стивен Сигал?
280,1,"Goldfish have the longest history of all aquarium fish. It is a domesticated form of the Prussian carp, bred in China over 1,500 years ago.",From which species of fish was the aquarium goldfish bred in ancient China?,De quelle espèce de poisson le poisson rouge d’aquarium a-t-il été élevé dans la Chine ancienne ?,Aus welcher Fischart wurde der Aquarien-Goldfisch im alten China gezüchtet?,מאיזו מין דגים גידלו את דג הזהב לאקווריום בסין העתיקה?,من أي نوع من الأسماك تم تربية سمك الزينة الذهبي في الصين القديمة؟,水族箱里的金鱼最早是在中国古代由哪种鱼类培育出来的？,Из какой породы рыб в древнем Китае вывели аквариумную золотую рыбку?
281,0,Nastya Kamenskikh was married to rapper Potap (Aleksey Potapenko).,Who is Nastya Kamenskikh married to?,À qui Nastya Kamenskikh est-elle mariée ?,Mit wem ist Nastya Kamenskikh verheiratet?,למי נשואה נאסטיה קמנסקיך?,بمن تزوجت ناستيا كامنسكيخ؟,娜斯佳·卡缅斯基赫的配偶是谁？,С кем в браке Настя Каменских?
282,1,The Earth moves around the Sun in an elliptical orbit.,What is the name of the curve along which the Earth moves around the Sun?,Quel est le nom de la courbe le long de laquelle la Terre se déplace autour du Soleil ?,"Wie heißt die Kurve, entlang derer sich die Erde um die Sonne bewegt?",מהו שם העקומה שלאורכה נעה כדור הארץ סביב השמש?,ما اسم المنحنى الذي تتحرك عليه الأرض حول الشمس؟,地球绕太阳运动的曲线叫什么？,"Как называется кривая, по которой Земля движется вокруг Солнца?"
283,1,"The Uber Cup, also known as the Women's World Team Championships, is a major international badminton competition held every two years.",In which sport do women compete for the Uber Cup?,Dans quel sport les femmes se disputent-elles la Coupe Uber ?,In welcher Sportart kämpfen Frauen um den Uber Cup?,באיזה ספורט נשים מתחרות על גביע אובר?,في أي رياضة تتنافس النساء على كأس أوبر؟,女性在哪项运动中争夺尤伯杯？,В каком спорте женщины соревнуются за Кубок Убер?
284,1,"Helios is, in ancient Greek mythology, the sun deity, brother of Selene and Eos.",Who is Selena's brother?,Qui est le frère de Selena ?,Wer ist Selenas Bruder?,מי הוא האח של סלינה?,من هو شقيق سيلينا؟,谁是塞莱娜的哥哥？,Кто брат Селены?
285,1,Zolota Lypa is a left tributary of the Dniester.,The Zolotaya Lipa is a tributary of which river?,La Zolotaya Lipa est un affluent de quel fleuve ?,Die Zolotaya Lipa ist ein Nebenfluss von welchem Fluss?,הזולוטאיה ליפה היא יובל של איזה נהר?,نهر زولوتايا ليبا هو رافد لأي نهر؟,佐洛塔亚利帕河是哪个河流的支流？,Притоком какой реки является Золотая Липа?
